key,text
be-careful-the-road-is-slippery,"Be careful! The road is slippery."
books,"Books"
bugs,"Bugs"
bugs-is-about-real-life,"Bugs is about real life!"
choose-a-level,"Choose a level!"
danger,"Danger"
do,"Do"
don-t,"Don't"
don-t-dive-here,"Don't dive here."
don-t-drink-this-water,"Don't drink this water!"
don-t-go-near-the-deep-water,"Don't go near the deep water."
don-t-waste-water-close-the-tap,"Don't waste water! Close the tap."
don-t-waste-water,"Don't waste water."
entrance,"Entrance"
exit,"Exit"
exit-means-go-out-this-way,"Exit means: go out this way."
exit-this-way-out,"Exit! This way out."
find-one-more,"Find one more!"
first-atlas,"First Atlas"
first-atlas-is-about-real-life,"First Atlas is about real life!"
great-job,"Great job!"
hero-academy,"Hero Academy"
hero-academy-is-a-story-book,"Hero Academy is a story book!"
hooray,"Hooray!"
how-to-draw-cartoons,"How to Draw Cartoons"
how-to-draw-cartoons-is-about-real-life,"How to Draw Cartoons is about real life!"
how-to-play-guitar,"How to Play Guitar"
how-to-play-guitar-is-about-real-life,"How to Play Guitar is about real life!"
in-the-classroom-signs-help-us-to-find-things,"In the classroom, signs help us to find things."
is-it-a-story-or-about-real-life,"Is it a story, or about real life?"
is-it-made-up-like-a-fairy-tale,"Is it made up, like a fairy tale?"
is-there-a-red-line-across-it,"Is there a red line across it?"
is-this-sign-telling-you-to-do-something-or-not-to-do-something,"Is this sign telling you to do something, or not to do something?"
let-s-listen-to-each-word,"Let's listen to each word."
let-s-read-signs-and-books,"Let's read signs and books!"
level-five-story-or-real-life,"Level five! Story, or real life?"
level-four-do-or-don-t,"Level four! Do, or don't?"
level-one-let-s-go-on-a-sign-hunt,"Level one! Let's go on a sign hunt!"
level-six-super-star-challenge,"Level six! Super star challenge!"
level-three-what-does-the-sign-mean,"Level three! What does the sign mean?"
level-two-signs-from-your-book,"Level two! Signs from your book!"
listen,"Listen."
look-at-the-sign,"Look at the sign."
look-carefully,"Look carefully."
monkey-s-magic-pipe,"Monkey's Magic Pipe"
monkey-s-magic-pipe-is-a-story-book,"Monkey's Magic Pipe is a story book!"
no-diving-here,"No diving here!"
oops-try-again,"Oops! Try again."
or-does-it-tell-us-true-things,"Or does it tell us true things?"
our-oceans,"Our Oceans"
our-oceans-is-about-real-life,"Our Oceans is about real life!"
pippi-longstocking,"Pippi Longstocking"
pippi-longstocking-is-a-story-book,"Pippi Longstocking is a story book!"
real-life,"Real life"
signs-show-us-where-to-go-in,"Signs show us where to go in."
signs-tell-us-what-to-do,"Signs tell us what to do."
signs-tell-us-where-we-must-not-go,"Signs tell us where we must not go."
slow,"Slow"
slow-means-go-slowly,"Slow means: go slowly."
slow-go-slowly,"Slow! Go slowly."
stop,"Stop"
story,"Story"
super,"Super!"
tap-a-speaker-to-hear-a-word-then-tap-the-word-you-choose,"Tap a speaker to hear a word. Then tap the word you choose."
tap-here-to-hear-the-question-again,"Tap here to hear the question again."
tap-the-picture-you-choose,"Tap the picture you choose."
the-human-body,"The Human Body"
the-human-body-is-about-real-life,"The Human Body is about real life!"
the-tale-of-little-red-riding-hood,"The Tale of Little Red Riding Hood"
the-tale-of-little-red-riding-hood-is-a-story-book,"The Tale of Little Red Riding Hood is a story book!"
think,"Think."
this-book-is,"This book is"
this-book-is-bugs,"This book is Bugs"
this-book-is-first-atlas,"This book is First Atlas"
this-book-is-hero-academy,"This book is Hero Academy"
this-book-is-how-to-draw-cartoons,"This book is How to Draw Cartoons"
this-book-is-how-to-play-guitar,"This book is How to Play Guitar"
this-book-is-monkey-s-magic-pipe,"This book is Monkey's Magic Pipe"
this-book-is-our-oceans,"This book is Our Oceans"
this-book-is-pippi-longstocking,"This book is Pippi Longstocking"
this-book-is-the-human-body,"This book is The Human Body"
this-sign-says,"This sign says"
this-sign-says-books,"This sign says Books"
this-sign-says-danger,"This sign says Danger"
this-sign-says-entrance,"This sign says Entrance"
this-sign-says-exit,"This sign says Exit"
this-sign-says-slow,"This sign says Slow"
this-sign-says-stop,"This sign says Stop"
this-sign-says-toys,"This sign says Toys"
this-sign-says-wash-your-hands,"This sign says Wash your hands"
toys,"Toys"
wash-your-hands,"Wash your hands"
well-done,"Well done!"
what-does-the-sign-say,"What Does the Sign Say?"
which-sign-is-it,"Which sign is it?"
which-sign-says,"Which sign says"
which-sign-says-books,"Which sign says Books"
which-sign-says-danger,"Which sign says Danger"
which-sign-says-entrance,"Which sign says Entrance"
which-sign-says-exit,"Which sign says Exit"
which-sign-says-slow,"Which sign says Slow"
which-sign-says-stop,"Which sign says Stop"
which-sign-says-toys,"Which sign says Toys"
which-sign-says-wash-your-hands,"Which sign says Wash your hands"
which-sign-shows-you-where-to-go,"Which sign shows you where to go?"
which-sign-tells-you-not-to-dive,"Which sign tells you not to dive?"
which-sign-tells-you-not-to-drink-this-water,"Which sign tells you not to drink this water?"
which-sign-tells-you-to-go-slowly,"Which sign tells you to go slowly?"
which-sign-tells-you-to-wash-your-hands,"Which sign tells you to wash your hands?"
which-sign-tells-you-be-careful-the-road-is-slippery,"Which sign tells you: be careful, the road is slippery?"
which-sign-tells-you-don-t-waste-water,"Which sign tells you: don't waste water?"
wow,"Wow!"
yay,"Yay!"
yay-three-stars-you-are-a-star,"Yay! Three stars! You are a star!"
you-finished-level-1,"You finished level 1!"
you-finished-level-2,"You finished level 2!"
you-finished-level-3,"You finished level 3!"
you-finished-level-4,"You finished level 4!"
you-finished-level-5,"You finished level 5!"
you-finished-level-6,"You finished level 6!"
you-got-it,"You got it!"
