key,text
books,"Books"
choose-a-level,"Choose a level!"
closed,"Closed"
danger,"Danger"
exit,"Exit"
find-the-missing-letter,"Find the missing letter."
finish-the-sign-word,"Finish the Sign Word"
great-job,"Great job!"
hooray,"Hooray!"
level-five-body-words-from-your-book,"Level five! Body words from your book!"
level-four-letters-in-the-middle,"Level four! Letters in the middle!"
level-one-let-s-warm-up,"Level one! Let's warm up!"
level-six-super-signs,"Level six! Super signs!"
level-three-first-letters,"Level three! First letters!"
level-two-signs-from-your-book,"Level two! Signs from your book!"
listen-carefully,"Listen carefully."
listen,"Listen."
no-entry,"No entry"
oops-try-again,"Oops! Try again."
open,"Open"
push,"Push"
slow,"Slow"
staff-only,"Staff only"
stop,"Stop"
super,"Super!"
tap-a-letter-or-drag-it-into-the-gap,"Tap a letter, or drag it into the gap."
tap-here-to-hear-it-again,"Tap here to hear it again."
this-sign-says,"This sign says"
this-sign-says-books,"This sign says Books"
this-sign-says-closed,"This sign says Closed"
this-sign-says-danger,"This sign says Danger"
this-sign-says-exit,"This sign says Exit"
this-sign-says-no-entry,"This sign says No entry"
this-sign-says-open,"This sign says Open"
this-sign-says-push,"This sign says Push"
this-sign-says-slow,"This sign says Slow"
this-sign-says-staff-only,"This sign says Staff only"
this-sign-says-stop,"This sign says Stop"
this-sign-says-toys,"This sign says Toys"
this-sign-says-wash-your-hands,"This sign says Wash your hands"
toys,"Toys"
wash-your-hands,"Wash your hands"
well-done,"Well done!"
which-letter-goes-in-the-gap,"Which letter goes in the gap?"
which-letter-is-missing,"Which letter is missing?"
wow,"Wow!"
yay,"Yay!"
yay-three-stars-you-are-a-star,"Yay! Three stars! You are a star!"
you-finished-level-1,"You finished level 1!"
you-finished-level-2,"You finished level 2!"
you-finished-level-3,"You finished level 3!"
you-finished-level-4,"You finished level 4!"
you-finished-level-5,"You finished level 5!"
you-finished-level-6,"You finished level 6!"
you-got-it,"You got it!"
ball,"ball"
bell,"bell"
book,"book"
bus,"bus"
chin,"chin"
door,"door"
drum,"drum"
ear,"ear"
face,"face"
fish,"fish"
foot,"foot"
hair,"hair"
hand,"hand"
house,"house"
leaf,"leaf"
leg,"leg"
lion,"lion"
lollipop,"lollipop"
mango,"mango"
milk,"milk"
moon,"moon"
mouth,"mouth"
neck,"neck"
nest,"nest"
nine,"nine"
nose,"nose"
soap,"soap"
sock,"sock"
teeth,"teeth"
tree,"tree"
