key,text
can-you-find-the-word,"Can you find the word"
can-you-find-the-word-do,"Can you find the word do"
can-you-find-the-word-find,"Can you find the word find"
can-you-find-the-word-go,"Can you find the word go"
can-you-find-the-word-not,"Can you find the word not"
choose-a-level,"Choose a level!"
great-job,"Great job!"
hooray,"Hooray!"
in-the-classroom-signs-help-us-to-find-things,"In the classroom, signs help us to find things."
let-s-read-about-signs,"Let's read about signs!"
look-carefully,"Look carefully."
oops-try-again,"Oops! Try again."
read-by-myself-tap-a-word-to-hear-it,"Read by myself! Tap a word to hear it."
read-to-me-listen-and-look-at-the-words,"Read to me! Listen and look at the words."
read-along-signs,"Read-along: Signs"
signs,"Signs"
signs-show-us-where-to-go-in,"Signs show us where to go in."
signs-tell-us-what-to-do,"Signs tell us what to do."
signs-tell-us-where-we-must-not-go,"Signs tell us where we must not go."
super,"Super!"
tap-a-word-to-hear-it,"Tap a word to hear it."
tap-the-arrow-to-turn-the-page,"Tap the arrow to turn the page."
the-end,"The end!"
well-done,"Well done!"
word-hunt-find-the-word-on-each-page,"Word hunt! Find the word on each page."
wow,"Wow!"
yay,"Yay!"
yay-three-stars-you-are-a-star,"Yay! Three stars! You are a star!"
you-finished-level-1,"You finished level 1!"
you-finished-level-2,"You finished level 2!"
you-finished-level-3,"You finished level 3!"
you-finished-level-4,"You finished level 4!"
you-finished-level-5,"You finished level 5!"
you-finished-level-6,"You finished level 6!"
you-got-it,"You got it!"
classroom,"classroom"
do,"do"
find,"find"
go,"go"
help,"help"
in,"in"
must,"must"
not,"not"
or,"or"
people,"people"
pictures,"pictures"
show,"show"
signs-writing-or-pictures-that-tell-or-show-people-something,"signs: writing or pictures that tell or show people something."
something,"something"
tell,"tell"
that,"that"
the,"the"
things,"things"
to,"to"
us,"us"
we,"we"
what,"what"
where,"where"
writing,"writing"
writing-or-pictures-that-tell-or-show-people-something,"writing or pictures that tell or show people something."
